date,open,high,low,close,volume
3/30/2024 9:00,69966,70162.79,69907.87,70008.31,492.14412
3/30/2024 10:00,70008.32,70110.95,69940.08,70042.19,405.86018
3/30/2024 11:00,70042.19,70183.67,70042.19,70183.55,623.01928
3/30/2024 12:00,70183.54,70218.9,70090,70218.89,487.51039
3/30/2024 13:00,70218.89,70269.15,70075.78,70148.05,458.50059
3/30/2024 14:00,70148.04,70173.02,69985.3,70038.01,536.51794
3/30/2024 15:00,70038.01,70142.87,69925.87,69999.99,477.63036
3/30/2024 16:00,69999.99,70280.06,69900,70178.16,644.85144
3/30/2024 17:00,70178.17,70178.17,69999.98,70036.01,480.15482
3/30/2024 18:00,70036.02,70036.02,69881.17,69924.91,428.10577
3/30/2024 19:00,69924.91,69936.24,69670,69896.34,1011.07475
3/30/2024 20:00,69896.34,69896.35,69780,69812.5,357.3685
3/30/2024 21:00,69812.5,69850,69621.97,69722.08,417.93392
3/30/2024 22:00,69722.07,69834,69645.16,69720.91,527.92684
3/30/2024 23:00,69720.91,69779.3,69540,69582.18,540.14232
3/31/2024 0:00,69582.17,69963.45,69562.99,69872.29,963.49455
3/31/2024 1:00,69872.29,70098,69838.25,70043.54,1124.61403
3/31/2024 2:00,70043.53,70165.86,69950,69990.01,448.00123
3/31/2024 3:00,69990.01,70000,69764.71,69916.61,435.77737
3/31/2024 4:00,69916.6,70124.6,69874.54,70116.01,471.6206
3/31/2024 5:00,70116.01,70460,70049.99,70345.64,1631.95846
3/31/2024 6:00,70345.63,70395.36,70185.2,70215,749.52905
3/31/2024 7:00,70215,70340.15,70163.45,70301.73,637.99994
3/31/2024 8:00,70301.72,70470,70231.51,70266,670.14748
3/31/2024 9:00,70266,70308.57,70147.77,70225.32,348.08706
3/31/2024 10:00,70225.31,70312.94,70214.52,70267.12,386.25589
3/31/2024 11:00,70267.13,70426.47,70267.12,70369.99,569.18945
3/31/2024 12:00,70369.99,70606,70340.17,70500,875.34429
3/31/2024 13:00,70500,70759.1,70499.99,70585.99,1135.42895
3/31/2024 14:00,70585.99,70680,70442,70535.48,830.86428
3/31/2024 15:00,70535.48,70535.48,70289.72,70381.13,738.10256
3/31/2024 16:00,70381.13,70666,70321.86,70469.21,762.74413
3/31/2024 17:00,70469.21,70556.23,70440,70509.11,365.12099
3/31/2024 18:00,70509.11,71227.22,70440.49,70856.6,1636.42274
3/31/2024 19:00,70856.61,71145.97,70647.06,71023.5,948.18598
3/31/2024 20:00,71023.51,71119.93,70740,70840,685.35975
3/31/2024 21:00,70840,70941.17,70639.93,70856,732.46953
3/31/2024 22:00,70855.99,71070.93,70840.01,70970,735.39599
3/31/2024 23:00,70969.99,71366,70923.91,71280.01,1514.23003
4/1/2024 0:00,71280,71288.23,70844.14,71152.86,1116.65969
4/1/2024 1:00,71152.86,71172.08,70794.12,70819.25,882.38745
4/1/2024 2:00,70819.26,70902.8,70759.39,70866.98,628.48334
4/1/2024 3:00,70866.99,70880,70520.51,70588.01,733.28369
4/1/2024 4:00,70588.01,70648.83,70417.61,70429.99,749.62684
4/1/2024 5:00,70429.98,70515.6,69000,69167.48,3934.73092
4/1/2024 6:00,69167.47,69671.64,68888,69614.96,3472.40672
4/1/2024 7:00,69614.96,69786,69520,69594.94,1599.73414
4/1/2024 8:00,69594.94,69594.94,69165.35,69388.64,1853.67407
4/1/2024 9:00,69388.64,69616.65,69388.64,69395,995.46884
4/1/2024 10:00,69395,69577.14,69280.01,69554.01,924.22077
4/1/2024 11:00,69554,69799.98,69440,69460.01,1012.38114
4/1/2024 12:00,69460,69841.13,69400.69,69841.13,873.5717
4/1/2024 13:00,69841.13,70080,69654.22,69880,1739.02271
4/1/2024 14:00,69880,69933.93,68611.45,68906.07,3694.44969
4/1/2024 15:00,68906.07,69021.66,68161.48,68237.15,4703.8607
4/1/2024 16:00,68237.15,68784.53,68062.86,68566.16,2144.08693
4/1/2024 17:00,68566.17,68752.03,68201.12,68750.01,1663.95304
4/1/2024 18:00,68750,68980.25,68450,68927.1,1618.87824
4/1/2024 19:00,68927.1,69816.24,68884.91,69648.01,2915.61918
4/1/2024 20:00,69648.01,69785.34,69327.66,69730.06,1280.51944
4/1/2024 21:00,69730.06,69900,69552.1,69586,1013.73438
4/1/2024 22:00,69585.99,69853.87,69577.96,69711.79,1228.91818
4/1/2024 23:00,69711.8,69876.04,69634.7,69649.8,665.64859
4/2/2024 0:00,69649.81,69674.23,69040,69349.08,1454.31705
4/2/2024 1:00,69349.08,69600,69250,69391.12,796.88007
4/2/2024 2:00,69391.12,69417.23,66000,66996,8824.11958
4/2/2024 3:00,66996.01,67278.78,66509.68,66703.97,3652.23391
